match_id,event_id,team,player,minute,second,period,pass_outcome,pass_height,pass_length,pass_technique,pass_type,body_part,play_pattern,recipient,location_x,location_y,end_location_x,end_location_y,P0_n_defenders_in_18yd_box,P0_n_attackers_in_6yd_box,P0_n_attackers_out_6yd_box,P0_GK_x,P0_GK_y,corner_side,zone_1_name,P0_n_att_zone_1,P0_n_def_zone_1,P0_total_n_zone_1,zone_3_name,P0_n_att_zone_3,P0_n_def_zone_3,P0_total_n_zone_3,zone_4_name,P0_n_att_zone_4,P0_n_def_zone_4,P0_total_n_zone_4,zone_5_name,P0_n_att_zone_5,P0_n_def_zone_5,P0_total_n_zone_5,zone_6_name,P0_n_att_zone_6,P0_n_def_zone_6,P0_total_n_zone_6,zone_7_name,P0_n_att_zone_7,P0_n_def_zone_7,P0_total_n_zone_7,zone_8_name,P0_n_att_zone_8,P0_n_def_zone_8,P0_total_n_zone_8,zone_9_name,P0_n_att_zone_9,P0_n_def_zone_9,P0_total_n_zone_9,zone_10_name,P0_n_att_zone_10,P0_n_def_zone_10,P0_total_n_zone_10,zone_11_name,P0_n_att_zone_11,P0_n_def_zone_11,P0_total_n_zone_11,zone_12_name,P0_n_att_zone_12,P0_n_def_zone_12,P0_total_n_zone_12,zone_13_name,P0_n_att_zone_13,P0_n_def_zone_13,P0_total_n_zone_13,zone_14_name,P0_n_att_zone_14,P0_n_def_zone_14,P0_total_n_zone_14,game_state,corner_execution_time_raw,corner_execution_time_label,match_date,home_team,away_team,xg_20s,xg_20s_def,goal_20s,goal_20s_def
3992815,6c8851af-c60e-5988-a273-291abcfadbb4,Pachuca,Elías Enrique Montiel Ávalos,81,37,2,Incomplete,High Pass,37.91,Outswinging,Corner,Right Foot,From Corner,,120.0,80.0,110.5,43.3,10,0,6,116.4,40.3,TR,Near-post low (6yd),0.0,0.0,0.0,Far-post high (6yd),0.0,2.0,2.0,Near-post channel (outside 6yd),0.0,0.0,0.0,Central corridor (outside 6-yard),0.0,1.0,1.0,Far-post corridor (outside 6yd),2.0,3.0,5.0,Deep central channel (penalty spot depth),2.0,0.0,2.0,Far-post high channel (deep back-post),0.0,1.0,1.0,Penalty-spot corridor,2.0,0.0,2.0,Short return – near,0.0,0.0,0.0,Short return – far,0.0,0.0,0.0,Short return – central,0.0,0.0,0.0,"Far-post low (6yd, mid-height)",0.0,0.0,0.0,Advanced wide return (touchline channel),0.0,0.0,0.0,1,31.95699999999988,30-40 seconds,2025-04-28,Monterrey,Pachuca,0.1620107293,0.0,1.0,0.0
3993197,90db80b5-8533-5e9d-a0b4-034653a820c0,Necaxa,José Antonio Paradela,6,18,1,,Low Pass,33.92,Outswinging,Corner,Left Foot,From Corner,Agustín Palavecino,120.0,0.1,108.2,31.9,11,1,4,117.0,32.1,BR,Near-post low (6yd),0.0,1.0,1.0,Far-post high (6yd),1.0,2.0,3.0,Near-post channel (outside 6yd),0.0,0.0,0.0,Central corridor (outside 6-yard),0.0,1.0,1.0,Far-post corridor (outside 6yd),3.0,2.0,5.0,Deep central channel (penalty spot depth),0.0,0.0,0.0,Far-post high channel (deep back-post),0.0,0.0,0.0,Penalty-spot corridor,0.0,1.0,1.0,Short return – near,0.0,0.0,0.0,Short return – far,0.0,0.0,0.0,Short return – central,0.0,0.0,0.0,"Far-post low (6yd, mid-height)",0.0,0.0,0.0,Advanced wide return (touchline channel),0.0,0.0,0.0,0,46.543000000000006,+40 seconds,2025-05-09,Necaxa,Tigres UANL,0.0,0.0,0.0,0.0
3993197,bfbb4ce8-172e-5550-b534-448d02ab1b48,Necaxa,Pavel Uriel Pérez Hernández,15,1,1,,Ground Pass,25.11,,Corner,Left Foot,From Corner,Johan Rojas Echavarría,120.0,0.1,96.0,7.5,9,1,0,110.8,14.4,BR,Near-post low (6yd),0.0,1.0,1.0,Far-post high (6yd),0.0,1.0,1.0,Near-post channel (outside 6yd),0.0,0.0,0.0,Central corridor (outside 6-yard),0.0,0.0,0.0,Far-post corridor (outside 6yd),0.0,1.0,1.0,Deep central channel (penalty spot depth),0.0,0.0,0.0,Far-post high channel (deep back-post),0.0,0.0,0.0,Penalty-spot corridor,0.0,1.0,1.0,Short return – near,0.0,0.0,0.0,Short return – far,0.0,1.0,1.0,Short return – central,0.0,0.0,0.0,"Far-post low (6yd, mid-height)",0.0,0.0,0.0,Advanced wide return (touchline channel),0.0,0.0,0.0,0,12.642000000000053,10-15 seconds,2025-05-09,Necaxa,Tigres UANL,0.0,0.0,0.0,0.0
3993197,9b3ec747-f6fb-5c20-992a-11be787a98f7,Necaxa,Pavel Uriel Pérez Hernández,15,43,1,Incomplete,High Pass,31.83,Inswinging,Corner,Right Foot,From Corner,,120.0,0.1,117.1,31.8,0,0,0,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31.273000000000025,30-40 seconds,2025-05-09,Necaxa,Tigres UANL,0.0,0.0,0.0,0.0
3993197,12c0979d-2700-5952-8cf6-1ac5e61f0024,Tigres UANL,Diego Lainez Leyva,17,39,1,Incomplete,High Pass,39.6,Inswinging,Corner,Left Foot,From Corner,,120.0,80.0,114.4,40.8,9,1,3,94.1,46.2,TR,Near-post low (6yd),0.0,0.0,0.0,Far-post high (6yd),0.0,1.0,1.0,Near-post channel (outside 6yd),0.0,0.0,0.0,Central corridor (outside 6-yard),1.0,1.0,2.0,Far-post corridor (outside 6yd),2.0,4.0,6.0,Deep central channel (penalty spot depth),0.0,0.0,0.0,Far-post high channel (deep back-post),0.0,0.0,0.0,Penalty-spot corridor,0.0,1.0,1.0,Short return – near,0.0,0.0,0.0,Short return – far,0.0,0.0,0.0,Short return – central,0.0,0.0,0.0,"Far-post low (6yd, mid-height)",0.0,0.0,0.0,Advanced wide return (touchline channel),0.0,0.0,0.0,0,42.676000000000045,+40 seconds,2025-05-09,Necaxa,Tigres UANL,0.0,0.0,0.0,0.0
3993197,fe593c5d-eb54-52a0-a146-514cf4449501,Necaxa,José Antonio Paradela,28,42,1,,High Pass,76.15,Inswinging,Corner,Left Foot,From Corner,Pavel Uriel Pérez Hernández,120.0,80.0,111.7,4.3,0,0,0,,,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43.74000000000001,+40 seconds,2025-05-09,Necaxa,Tigres UANL,0.0,0.0,0.0,0.0
3993197,bcba7f14-2ab0-5556-b428-f2aaa1bdc7ed,Necaxa,Agustín Palavecino,36,36,1,,Ground Pass,34.17,,Corner,Right Foot,From Corner,José Antonio Paradela,120.0,0.1,89.7,15.9,0,0,0,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27.973999999999705,20-30 seconds,2025-05-09,Necaxa,Tigres UANL,0.1023647413,0.0,0.0,0.0
3993197,b6428e48-d7ed-5f8c-973d-5db34160b3e6,Necaxa,Johan Rojas Echavarría,45,6,1,,Ground Pass,7.32,,Corner,Right Foot,From Corner,José Antonio Paradela,120.0,0.1,114.3,4.7,0,0,0,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14.472999999999956,10-15 seconds,2025-05-09,Necaxa,Tigres UANL,0.108635664,0.0,0.0,0.0
3993197,cb218e0b-5b8e-5635-b0c5-5866794aca01,Necaxa,Agustín Palavecino,63,30,2,,Ground Pass,13.3,,Corner,Left Foot,From Corner,Pavel Uriel Pérez Hernández,120.0,0.1,113.5,11.7,0,0,0,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16.499000000000024,15-20 seconds,2025-05-09,Necaxa,Tigres UANL,0.0,0.0,0.0,0.0
3993197,c0d68655-353a-5149-ab96-8dc17a1d0a93,Necaxa,José Antonio Paradela,90,27,2,Incomplete,High Pass,37.93,Outswinging,Corner,Left Foot,From Corner,,120.0,0.1,114.3,37.6,11,0,5,87.7,36.1,BR,Near-post low (6yd),0.0,0.0,0.0,Far-post high (6yd),0.0,1.0,1.0,Near-post channel (outside 6yd),0.0,0.0,0.0,Central corridor (outside 6-yard),1.0,1.0,2.0,Far-post corridor (outside 6yd),0.0,4.0,4.0,Deep central channel (penalty spot depth),1.0,1.0,2.0,Far-post high channel (deep back-post),0.0,0.0,0.0,Penalty-spot corridor,3.0,1.0,4.0,Short return – near,0.0,0.0,0.0,Short return – far,0.0,1.0,1.0,Short return – central,0.0,0.0,0.0,"Far-post low (6yd, mid-height)",0.0,0.0,0.0,Advanced wide return (touchline channel),0.0,0.0,0.0,0,35.83699999999999,30-40 seconds,2025-05-09,Necaxa,Tigres UANL,0.0,0.0,0.0,0.0
3993197,f9e08006-6a04-5292-bd33-5fe3135006a1,Necaxa,José Antonio Paradela,91,57,2,Incomplete,High Pass,36.02,Inswinging,Corner,Left Foot,From Corner,Ricardo Saúl Monreal Morales,120.0,80.0,116.0,44.2,0,0,0,,,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27.252000000000407,20-30 seconds,2025-05-09,Necaxa,Tigres UANL,0.0,0.0,0.0,0.0
3993197,1f693262-c3bd-5740-ae4b-d073fb2d6193,Necaxa,José Antonio Paradela,100,33,2,,Ground Pass,6.61,,Corner,Right Foot,From Corner,Agustín Palavecino,120.0,80.0,114.9,75.8,0,0,0,,,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35.86299999999983,30-40 seconds,2025-05-09,Necaxa,Tigres UANL,0.0072605987,0.0,0.0,0.0
